Price,Close,High,Low,Open,Volume
Ticker,ACN,ACN,ACN,ACN,ACN
Datetime,,,,,
2025-11-05 14:30:00+00:00,244.00999450683594,244.74000549316406,242.75999450683594,243.3800048828125,84537
2025-11-05 14:31:00+00:00,245.3800048828125,246.0,244.0749969482422,244.41000366210938,16530
2025-11-05 14:32:00+00:00,245.8249969482422,246.80999755859375,245.5,245.5,12995
2025-11-05 14:33:00+00:00,246.5749969482422,246.88999938964844,245.98500061035156,246.32000732421875,24892
2025-11-05 14:34:00+00:00,246.2100067138672,247.14999389648438,246.0,246.75,19031
2025-11-05 14:35:00+00:00,246.82000732421875,247.11000061035156,246.26499938964844,246.32000732421875,8145
2025-11-05 14:36:00+00:00,247.4600067138672,247.5,246.7550048828125,246.7550048828125,40718
2025-11-05 14:37:00+00:00,248.11000061035156,248.42999267578125,247.4600067138672,247.4600067138672,16701
2025-11-05 14:38:00+00:00,247.91000366210938,248.47999572753906,247.72999572753906,247.96499633789062,16591
2025-11-05 14:39:00+00:00,247.5449981689453,248.1300048828125,247.47569274902344,247.7324981689453,87292
2025-11-05 14:40:00+00:00,247.60000610351562,247.60000610351562,246.53709411621094,247.24000549316406,16335
2025-11-05 14:41:00+00:00,248.17999267578125,248.17999267578125,247.35000610351562,247.5675048828125,9494
2025-11-05 14:42:00+00:00,248.35000610351562,248.68499755859375,248.22500610351562,248.22999572753906,12902
2025-11-05 14:43:00+00:00,247.83999633789062,248.07000732421875,247.8300018310547,248.05859375,4509
2025-11-05 14:44:00+00:00,248.0500030517578,248.39999389648438,248.00999450683594,248.16000366210938,7163
2025-11-05 14:45:00+00:00,248.31500244140625,248.49000549316406,248.00999450683594,248.13499450683594,5579
2025-11-05 14:46:00+00:00,248.58999633789062,248.78199768066406,248.28500366210938,248.28500366210938,4921
2025-11-05 14:47:00+00:00,248.8249969482422,248.91000366210938,248.5050048828125,248.60499572753906,9061
2025-11-05 14:48:00+00:00,248.12750244140625,248.99000549316406,248.0,248.8249969482422,15243
2025-11-05 14:49:00+00:00,247.53500366210938,248.16000366210938,247.53500366210938,248.125,9034
2025-11-05 14:50:00+00:00,247.56500244140625,247.75999450683594,247.47000122070312,247.75999450683594,3443
2025-11-05 14:51:00+00:00,247.22999572753906,247.72999572753906,247.22999572753906,247.54100036621094,8546
2025-11-05 14:52:00+00:00,247.16000366210938,247.40499877929688,247.0,247.3874969482422,8889
2025-11-05 14:53:00+00:00,246.7725067138672,247.25,246.7725067138672,247.16000366210938,7655
2025-11-05 14:54:00+00:00,247.0749969482422,247.1300048828125,246.69000244140625,246.69000244140625,4693
2025-11-05 14:55:00+00:00,246.7550048828125,247.12399291992188,246.6199951171875,247.0500030517578,10284
2025-11-05 14:56:00+00:00,246.88499450683594,246.88999938964844,246.64999389648438,246.7550048828125,3897
2025-11-05 14:57:00+00:00,246.94000244140625,246.97999572753906,246.7899932861328,246.88499450683594,5017
2025-11-05 14:58:00+00:00,246.88499450683594,247.10000610351562,246.88499450683594,247.02999877929688,6029
