Price,Close,High,Low,Open,Volume
Ticker,CRWD,CRWD,CRWD,CRWD,CRWD
Datetime,,,,,
2025-11-05 14:30:00+00:00,532.1640014648438,534.39990234375,531.0040283203125,533.489990234375,43495
2025-11-05 14:31:00+00:00,530.8300170898438,533.0399780273438,527.0,532.6400146484375,20250
2025-11-05 14:32:00+00:00,533.2100219726562,534.0499877929688,531.2000122070312,532.6099853515625,3790
2025-11-05 14:33:00+00:00,532.2100219726562,533.2100219726562,531.844970703125,532.2449951171875,2609
2025-11-05 14:34:00+00:00,529.72998046875,532.0800170898438,529.72998046875,532.02001953125,2278
2025-11-05 14:35:00+00:00,532.4650268554688,532.780029296875,529.6541748046875,530.0499877929688,8797
2025-11-05 14:36:00+00:00,531.1799926757812,532.780029296875,531.1799926757812,532.4650268554688,3257
2025-11-05 14:37:00+00:00,532.5150146484375,533.0700073242188,531.2000122070312,531.6649780273438,3810
2025-11-05 14:38:00+00:00,532.2050170898438,532.8049926757812,532.2050170898438,532.6799926757812,2067
2025-11-05 14:39:00+00:00,532.0499877929688,532.5,531.6901245117188,532.0499877929688,2815
2025-11-05 14:40:00+00:00,531.3599853515625,532.2637939453125,531.3099975585938,532.01220703125,2290
2025-11-05 14:41:00+00:00,530.97998046875,531.8200073242188,530.385009765625,531.655029296875,3859
2025-11-05 14:42:00+00:00,530.3046875,531.3004760742188,530.3046875,530.89501953125,3916
2025-11-05 14:43:00+00:00,529.4249877929688,530.2100219726562,529.4199829101562,530.2100219726562,4006
2025-11-05 14:44:00+00:00,529.5150146484375,530.0499877929688,529.0499877929688,529.4249877929688,2307
2025-11-05 14:45:00+00:00,529.9581909179688,530.7349853515625,529.7493896484375,529.75,3350
2025-11-05 14:46:00+00:00,530.3300170898438,530.5850219726562,529.6649780273438,529.7249755859375,1556
2025-11-05 14:47:00+00:00,531.8499755859375,532.8499755859375,530.2750244140625,530.2750244140625,3634
2025-11-05 14:48:00+00:00,530.7449951171875,531.760009765625,530.6400146484375,531.580078125,3448
2025-11-05 14:49:00+00:00,530.4299926757812,530.989990234375,530.2100219726562,530.7899780273438,2346
2025-11-05 14:50:00+00:00,531.3300170898438,531.989990234375,530.22900390625,530.4400024414062,4200
2025-11-05 14:51:00+00:00,531.5499877929688,531.8200073242188,531.2100219726562,531.4949951171875,1856
2025-11-05 14:52:00+00:00,530.0700073242188,531.635009765625,529.77001953125,531.635009765625,3551
2025-11-05 14:53:00+00:00,530.760009765625,530.7855834960938,530.239990234375,530.3599853515625,2113
2025-11-05 14:54:00+00:00,533.4000244140625,533.4000244140625,530.8350219726562,530.8350219726562,3313
2025-11-05 14:55:00+00:00,532.9600219726562,533.6500244140625,532.6099853515625,533.0,3594
2025-11-05 14:56:00+00:00,532.85498046875,532.9500122070312,532.2100219726562,532.760009765625,3081
2025-11-05 14:57:00+00:00,532.8060302734375,533.2000122070312,532.3900146484375,533.1199951171875,1987
2025-11-05 14:58:00+00:00,533.0050048828125,533.0349731445312,532.5399780273438,533.030029296875,1212
2025-11-05 14:59:00+00:00,533.0750122070312,533.0750122070312,532.5599975585938,532.9199829101562,983
2025-11-05 15:00:00+00:00,532.6668090820312,533.0800170898438,532.1199951171875,533.0750122070312,3845
2025-11-05 15:01:00+00:00,532.6749877929688,532.7000122070312,532.4099731445312,532.4500122070312,2254
2025-11-05 15:02:00+00:00,532.2000122070312,533.0599975585938,531.9249877929688,532.9299926757812,3127
2025-11-05 15:03:00+00:00,531.989990234375,532.2249755859375,531.1901245117188,532.2249755859375,1913
2025-11-05 15:04:00+00:00,530.8400268554688,532.4099731445312,530.8400268554688,532.1699829101562,4155
2025-11-05 15:05:00+00:00,532.25,532.25,530.6699829101562,530.8699951171875,3014
2025-11-05 15:06:00+00:00,532.1300048828125,532.3200073242188,531.8599853515625,532.25,1098
2025-11-05 15:07:00+00:00,530.9299926757812,531.8099975585938,530.719970703125,531.7000122070312,1349
2025-11-05 15:08:00+00:00,530.0,531.0700073242188,529.8699951171875,530.8699951171875,3696
2025-11-05 15:09:00+00:00,529.27001953125,530.4400024414062,529.260009765625,530.14501953125,2356
2025-11-05 15:10:00+00:00,529.760009765625,530.0599975585938,528.4000244140625,529.7899780273438,6114
2025-11-05 15:11:00+00:00,527.7750244140625,530.219970703125,527.0,529.8200073242188,10346
2025-11-05 15:12:00+00:00,529.1400146484375,529.1400146484375,527.6901245117188,527.7999877929688,5569
2025-11-05 15:13:00+00:00,528.25,528.8699951171875,528.2000122070312,528.7999877929688,2184
2025-11-05 15:14:00+00:00,527.9199829101562,528.8599853515625,527.52001953125,528.1599731445312,1687
2025-11-05 15:15:00+00:00,526.8499755859375,527.9199829101562,526.1599731445312,527.9199829101562,7904
